rank,name,mint_price,psa10_price,diff,url
64,ピカチュウex [MC 764/742],353000,590000,237000,https://pokeca-chart.com/mc-764-742
12,ギラティナV [s11 111/100],235000,344500,109500,https://pokeca-chart.com/s11-111-100
33,リザードン&テールナーGX [SM11a 068/064],48888,146000,97112,https://pokeca-chart.com/sm11a-068-064
40,メガリザードンXex [M2 110/080],122222,210370,88148,https://pokeca-chart.com/m2-110-080
98,リザードンex [SV2a 201/165],70600,141500,70900,https://pokeca-chart.com/sv2a-201-165
26,リザードンex [SV3 134/108],39700,98800,59100,https://pokeca-chart.com/sv3-134-108
19,ピカチュウ [323/S-P],76500,130416,53916,https://pokeca-chart.com/323-s-p
80,ゼイユ [SV6 130/101],18288,69000,50712,https://pokeca-chart.com/sv6-130-101
10,ブラッキーV [S6a 085/069],56800,107000,50200,https://pokeca-chart.com/s6a-085-069
24,バンギラスV [S5I 077/070],34999,81500,46501,https://pokeca-chart.com/s5i-077-070
97,ピカチュウ [208/S-P],24960,66000,41040,https://pokeca-chart.com/208-s-p
20,ブラッキー☆ [s8a-p 012/025],33999,69667,35668,https://pokeca-chart.com/s8a-p-012-025
79,ミュウex [SV2a 208/165],12500,46900,34400,https://pokeca-chart.com/sv2a-208-165
58,リザードンV [s9 103/100],44444,77000,32556,https://pokeca-chart.com/s9-103-100
91,レシラム&ゼクロムGX [SM11b 064/049],29444,62000,32556,https://pokeca-chart.com/sm11b-064-049
82,マリィ [140/S-P],8500,36800,28300,https://pokeca-chart.com/140-s-p
28,かがやくリザードン [s10b 011/071],4520,29600,25080,https://pokeca-chart.com/s10b-011-071
57,エリカの招待 [SV2a 206/165],8488,32722,24234,https://pokeca-chart.com/sv2a-206-165
45,メイのはげまし [M3 107/080],2500,26666,24166,https://pokeca-chart.com/m3-107-080
69,ひかるコイキング [S8a-P 010/025],20555,44378,23823,https://pokeca-chart.com/s8a-p-010-025
70,サンダーex [SV2a 204/165],15332,38332,23000,https://pokeca-chart.com/sv2a-204-165
90,マツバの確信 [SV5K 097/071],5600,27800,22200,https://pokeca-chart.com/sv5k-097-071
60,オリジンパルキアV [S10P 071/067],11000,32750,21750,https://pokeca-chart.com/s10p-071-067
11,ベルのまごころ [SV5M 097/071],5999,25999,20000,https://pokeca-chart.com/sv5m-097-071
61,リザードンV [S12a 211/172],6844,26600,19756,https://pokeca-chart.com/s12a-211-172
13,メガジガルデex [M3 113/080],4900,23500,18600,https://pokeca-chart.com/m3-113-080
37,ニンフィア [070/SV-P],11000,28375,17375,https://pokeca-chart.com/070-sv-p
59,ロケット団のサカキ [sv10 129/098],3000,20000,17000,https://pokeca-chart.com/sv10-129-098
95,フーディンex [SV2a 203/165],7400,24000,16600,https://pokeca-chart.com/sv2a-203-165
1,かがやくカメックス [s10b 018/071],1275,16566,15291,https://pokeca-chart.com/s10b-018-071
22,グルーシャ [SV2P 095/071],3561,18500,14939,https://pokeca-chart.com/sv2p-095-071
67,リザードンex [SV4a 331/190],2932,17826,14894,https://pokeca-chart.com/sv4a-331-190
92,シロナのガブリアスex [sv9a 091/063],5500,19950,14450,https://pokeca-chart.com/sv9a-091-063
83,アセロラのいたずら [M1S 084/063],1850,15704,13854,https://pokeca-chart.com/m1s-084-063
71,デオキシスVMAX [S12a 222/172],2727,14712,11985,https://pokeca-chart.com/s12a-222-172
87,サンダースex [sv8a 209/187],6222,17925,11703,https://pokeca-chart.com/sv8a-209-187
43,ボスの指令 [S2 106/096],17050,28500,11450,https://pokeca-chart.com/s2-106-096
